i,Pref[i],Char[i],Used[i]
1034,937,32,7
1035,356,117,4
1036,842,107,6
1037,844,32,1
1038,822,114,3
1039,117,97,43
1040,100,122,2
1041,125,121,1
1042,912,46,1
1043,890,87,5
1044,90,101,4
1045,425,108,13
1046,111,44,5
1047,833,116,17
1048,905,51,1
1049,54,39,1
1050,42,114,5
1051,117,100,19
1052,446,100,2
1053,898,105,2
1054,291,105,1
1055,901,110,1
1056,113,32,95
1057,356,105,5
1058,280,115,3
1059,930,101,1
1060,732,116,3
1061,905,98,11
1062,101,101,46
1063,924,44,1
1064,963,110,18
1065,485,104,3
1066,892,101,7
1067,512,32,22
1068,486,32,29
1069,851,104,9
1070,996,114,2
1071,338,32,9
1072,921,109,1
1073,112,109,10
1074,477,114,2
1075,968,32,6
1076,970,102,38
1077,453,119,3
1078,122,104,40
1079,319,116,15
1080,119,115,14
1081,350,82,1
1082,857,65,5
1083,68,76,24
1084,876,112,1
1085,115,97,38
1086,532,121,9
1087,383,105,5
1088,729,116,6
1089,476,101,1
1090,496,32,9
1091,534,116,3
1092,1080,13,2
1093,988,114,3
1094,282,117,16
1095,380,100,7
1096,446,55,1
1097,58,58,2
1098,61,51,1
1099,566,44,1
1100,833,73,7
1101,76,32,20
1102,270,97,4
1103,478,32,34
1104,1068,115,3
1105,118,104,24
1106,996,119,2
1107,122,101,20
1108,289,44,4
1109,833,103,8
1110,835,32,13
1111,887,114,6
1112,793,115,10
1113,424,100,2
1114,103,44,7
1115,1064,100,16
1116,446,103,2
1117,1110,112,1
1118,115,105,19
1119,108,99,33
1120,843,101,9
1121,1031,32,25
1122,35,117,19
1123,120,112,16
1124,115,32,17
1125,682,73,2
1126,1101,110,1
1127,292,118,5
1128,630,114,22
1129,313,13,2
1130,260,100,2
1131,959,105,7
1132,108,118,9
1133,630,32,22
1134,933,99,1
1135,102,97,66
1136,403,115,3
1137,708,116,6
1138,619,110,4
1139,1056,121,5
1140,820,32,39
1141,868,110,9
1142,506,116,7
1143,533,103,2
1144,1110,97,3
1145,374,32,28
1146,415,115,5
1147,1030,100,2
1148,1032,115,2
1149,350,121,7
1150,1140,119,7
1151,347,110,7
1152,584,41,1
1153,1012,32,4
1154,881,32,25
1155,834,111,13
1156,938,111,2
1157,938,104,8
1158,371,13,5
1159,260,112,10
1160,985,99,4
1161,288,32,11
1162,1076,32,31
1163,949,97,10
1164,1086,46,7
1165,890,77,7
1166,80,121,3
1167,991,114,2
1168,317,105,2
1169,291,100,3
1170,980,40,2
1171,43,115,3
1172,118,97,12
1173,348,32,14
1174,35,52,3
1175,55,32,9
1176,981,32,8
1177,35,53,4
1178,805,32,2
1179,35,104,30
1180,319,118,21
1181,1133,51,1
1182,54,32,11
1183,868,115,1
1184,424,115,2
1185,903,32,8
1186,273,105,6
1187,368,101,2
1188,1108,32,3
1189,35,46,1
1190,49,53,3
1191,56,103,1
1192,106,13,3
1193,260,111,14
1194,948,100,1
1195,589,111,1
1196,114,98,7
1197,315,103,2
1198,658,44,2
1199,1115,32,14
1200,1068,50,1
1201,650,112,1
1202,1085,99,7
1203,843,32,14
1204,1162,116,9
1205,281,111,3
1206,114,106,2
1207,109,97,2
1208,320,115,1
1209,350,40,4
1210,43,114,2
1211,1009,98,1
1212,101,98,4
1213,1062,114,6
1214,423,32,6
1215,356,111,13
1216,971,121,1
1217,1140,118,1
1218,595,114,1
1219,942,105,1
1220,291,115,4
1221,1011,46,1
1222,1043,101,1
